Date,GDP,Unemployment
31/03/2000,0.62271011,3.866667
30/06/2000,1.116802889,3.733333
30/09/2000,0.825163363,3.566667
31/12/2000,1.299729489,3.366667
31/03/2001,0.108520675,3.2
30/06/2001,0.505669035,3.1
30/09/2001,0.173787806,3.1
31/12/2001,0.322515301,3.133333
31/03/2002,-0.610179976,3.3
30/06/2002,0.348263578,3.5
30/09/2002,0.155263883,3.8
31/12/2002,0.149651197,4.1
31/03/2003,0.017344153,5.433333
30/06/2003,-0.345329821,5.8
30/09/2003,0.088712714,6.1
31/12/2003,0.535395784,6.366667
31/03/2004,0.905236953,6.6
30/06/2004,0.476796103,6.933333
30/09/2004,0.149388239,6.733333
31/12/2004,0.218014009,6.866667
31/03/2005,0.322858268,7.1
30/06/2005,0.703469864,7.1
30/09/2005,1.342952261,6.933333
31/12/2005,0.630550925,6.833333
31/03/2006,0.623937874,6.433333
30/06/2006,1.497031303,6.133333
30/09/2006,0.598152747,5.933333
31/12/2006,0.824500468,5.866667
31/03/2007,1.145697378,5.633333
30/06/2007,0.511646773,5.266667
30/09/2007,1.117501908,5.233333
31/12/2007,1.353023647,5.066667
31/03/2008,0.327531403,4.8
30/06/2008,0.492586831,4.8
30/09/2008,-0.122148031,4.733333
31/12/2008,-0.659940783,4.733333
31/03/2009,-3.593640784,4.9
30/06/2009,0.002508579,5.233333
30/09/2009,0.400707908,5.6
31/12/2009,0.602328461,5.933333
31/03/2010,-0.188878543,6.2
30/06/2010,0.438962834,6.133333
30/09/2010,0.441823884,6.1
31/12/2010,1.128164665,5.933333
31/03/2011,0.577128695,5.8
30/06/2011,-0.089398302,5.766667
30/09/2011,0.000390709,6.066667
31/12/2011,-0.603347144,6.5
31/03/2012,-0.208153284,6.533333
30/06/2012,0.050932344,6.733333
30/09/2012,-0.429226868,6.833333
31/12/2012,-0.699748546,7.2
31/03/2013,0.322901448,7.7
30/06/2013,-0.180697917,8.133333
30/09/2013,0.603037206,8.5
31/12/2013,0.634724177,8.466666
31/03/2014,-0.094853292,8.666667
30/06/2014,0.585474061,8.466666
30/09/2014,0.250188693,8.1
31/12/2014,0.895655301,8.133333
31/03/2015,0.594937081,8.166667
30/06/2015,0.308192702,8
30/09/2015,0.345149652,7.733333
31/12/2015,0.016091169,7.733333
31/03/2016,0.917343894,7.433333
30/06/2016,0.23613902,7.233333
30/09/2016,1.118169233,6.833333
31/12/2016,0.837311055,6.533333
31/03/2017,0.524782008,6.3
30/06/2017,0.880814866,6.066667
30/09/2017,0.708234501,5.766667
31/12/2017,0.735463117,5.433333
31/03/2018,0.505577197,5.1
30/06/2018,0.651351507,4.9
30/09/2018,0.118766163,4.866667
31/12/2018,0.487706795,4.633333
31/03/2019,0.826416375,4.466667
30/06/2019,0.297512296,4.333333
30/09/2019,0.213677408,4.466667
31/12/2019,0.572641066,4.433333
31/03/2020,-1.327838614,4.066667
30/06/2020,-8.348639597,4.833333
30/09/2020,6.376224562,5.466667
31/12/2020,0.634352785,5.066667
31/03/2021,1.224262986,4.666667
30/06/2021,3.086725669,4.366667
30/09/2021,1.914124475,4.133333
31/12/2021,0.798697174,3.8
31/03/2022,0.517007219,3.433333
30/06/2022,1.84199198,3.3
30/09/2022,-0.185737239,3.733333
31/12/2022,0.86436159,3.6
